franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Long Haul KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-long-haul/23868/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23871.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Quickmix KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-quickmix/23880/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23883.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Scavenger KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-ii-constructicons-constructicon-devastator-kb-toys-exclusive-scavenger/23892/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/23895.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series III Railbots (Rail Racer),Midnight Express KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-midnight-express/12671/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12674.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Combiners - Series III Railbots (Rail Racer),Overload KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-overload/12685/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12688.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Rail Racer KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-rail-racer/20341/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/20344.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Railspike KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-railspike/12699/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12702.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Rapid Run KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-rapid-run/12713/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12716.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Swindle KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-swindle/12727/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12730.jpg,
Transformers,Transformers Universe,Universe,Hasbro/Takara,2003,Universe,Tankor KB Toys Exclusive,figure,Transformerland,https://www.transformerland.com/wiki/toy-info/transformers-universe-combiners-series-iii-railbots-rail-racer-kb-toys-exclusive-tankor/12741/,Supplemental expanded Transformers import from Transformerland; release year is the line launch year when item-level year is not exposed.,https://www.transformerland.com/image/thumbnails/12744.jpg,
