Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
Ninja Shooters Leonardo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Ninja Shooters Michael Angelo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Ninja Shooters Raphael,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Pizza Police Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Pizza Wars,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Raphael's Baseball Playset,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Safari Michael Angelo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Sewer Wars,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Sumo Michael Angelo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Sumo Raphael,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Bebop,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Donatello,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Leonardo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Michael Angeleo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Raphael,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Rocksteady,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Shredder,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutant Splinter,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Super Mutants Cyclone Cycle,Vehicle,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Totally Tiny Turtle Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Turtle Saint,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Turtle Tenderizin' Combo,Mini,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Warrior Chrome Dome,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Warrior Rocksteady,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Warrior Winged Donatello,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Warrior Winged Leo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Warrior Winged Michael Angelo,Figure,Wave 8,1995,TMNT Vintage Playmates,Teenage Mutant Ninja Turtles,Playmates
Armatron Modo,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Invincible Vinnie,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Meteor Bashin' Throttle,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Modo Street Bike Gift Set,Multi-Pack,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Modo's Duneripper ATV,Vehicle,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Planet Hoppin' Modo,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Sky-Skimmin' Rimfire,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Star Blastin' Vinnie,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Throttle's Tromper ATV,Vehicle,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
Totalizer Throttle,Figure,Wave 3,1995,Vintage Biker Mice,Biker Mice From Mars,Galoob
