status,host,item_id,item_name,kind,url,content_type,bytes,error
downloaded,www.actionfigure411.com,10244,IG-88,packaged,https://www.actionfigure411.com/star-wars/images/ig-88-13053.jpg,image/jpeg,449995,
downloaded,www.actionfigure411.com,10249,Laser Rifle Carry Case,packaged,https://www.actionfigure411.com/star-wars/images/laser-rifle-carry-case-11651.jpg,image/jpeg,612040,
downloaded,www.actionfigure411.com,10247,C-3P0 Collector Case,packaged,https://www.actionfigure411.com/star-wars/images/c-3p0-collector-case-11647.jpg,image/jpeg,892698,
downloaded,www.actionfigure411.com,10250,Landspeeder (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/landspeeder-4463.jpg,image/jpeg,1770818,
downloaded,www.actionfigure411.com,10246,Vinyl Collector's Case,packaged,https://www.actionfigure411.com/star-wars/images/vinyl-collectors-case-11650.jpg,image/jpeg,1004895,
downloaded,www.actionfigure411.com,10245,Darth Vader Collector's Case,packaged,https://www.actionfigure411.com/star-wars/images/darth-vader-collectors-case-11649.jpg,image/jpeg,851749,
downloaded,www.actionfigure411.com,10252,Tie Fighter (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/tie-fighter-4464.jpg,image/jpeg,1273751,
downloaded,www.actionfigure411.com,10248,Chewbacca's Bandolier Strap,packaged,https://www.actionfigure411.com/star-wars/images/chewbaccas-bandolier-strap-11648.jpg,image/jpeg,1271227,
downloaded,www.actionfigure411.com,10256,Tie Bomber (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/tie-bomber-4467.jpg,image/jpeg,847107,
downloaded,www.actionfigure411.com,10254,Millenium Falcon (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/millenium-falcon-4466.jpg,image/jpeg,735829,
downloaded,www.actionfigure411.com,10260,Twin-Pod Cloud Car (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/twin-pod-cloud-car-4472.jpg,image/jpeg,285341,
downloaded,www.actionfigure411.com,10253,X-Wing Fighter (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/x-wing-fighter-4465.jpg,image/jpeg,803187,
downloaded,www.actionfigure411.com,10255,Star Destroyer (Imperial Cruiser) (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/star-destroyer-imperial-cruiser-4469.jpg,image/jpeg,1177257,
downloaded,www.actionfigure411.com,10251,Tie Fighter (Darth Vader) (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/tie-fighter-darth-vader-4462.jpg,image/jpeg,2082175,
downloaded,www.actionfigure411.com,10257,Y-Wing Fighter (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/y-wing-fighter-4468.jpg,image/jpeg,1220476,
downloaded,www.actionfigure411.com,10258,Slave I (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/slave-i-4471.jpg,image/jpeg,1274705,
downloaded,www.actionfigure411.com,10261,Bespin Control Room (Micro Collection),packaged,https://www.actionfigure411.com/star-wars/images/bespin-control-room-4446.jpg,image/jpeg,1211902,
downloaded,www.actionfigure411.com,10259,Snowspeeder (Die Cast),packaged,https://www.actionfigure411.com/star-wars/images/snowspeeder-4470.jpg,image/jpeg,1601508,
downloaded,www.actionfigure411.com,10264,Creature Cantina,packaged,https://www.actionfigure411.com/star-wars/images/creature-cantina-2243.jpg,image/jpeg,870435,
downloaded,www.actionfigure411.com,10262,Bespin Freeze Chamber (Micro Collection),packaged,https://www.actionfigure411.com/star-wars/images/bespin-freeze-chamber-4448.jpg,image/jpeg,1336400,
downloaded,www.actionfigure411.com,10268,Land of the Jawas,packaged,https://www.actionfigure411.com/star-wars/images/land-of-the-jawas-2246.jpg,image/jpeg,650183,
downloaded,www.actionfigure411.com,10267,Imperial Troop Transporter,packaged,https://www.actionfigure411.com/star-wars/images/imperial-troop-transporter-2191.jpg,image/jpeg,887410,
downloaded,www.actionfigure411.com,10272,Patrol Dewback,packaged,https://www.actionfigure411.com/star-wars/images/patrol-dewback-2189.jpg,image/jpeg,768076,
downloaded,www.actionfigure411.com,10263,Cantina Adventure Set,packaged,https://www.actionfigure411.com/star-wars/images/cantina-adventure-set-2242.jpg,image/jpeg,1689642,
downloaded,www.actionfigure411.com,10266,Droid Factory,packaged,https://www.actionfigure411.com/star-wars/images/droid-factory-2245.jpg,image/jpeg,1522492,
downloaded,www.actionfigure411.com,10265,Death Star Space Station,packaged,https://www.actionfigure411.com/star-wars/images/death-star-space-station-2244.jpg,image/jpeg,1809741,
downloaded,www.actionfigure411.com,10269,Landspeeder,packaged,https://www.actionfigure411.com/star-wars/images/landspeeder-2192.jpg,image/jpeg,1311310,
downloaded,www.actionfigure411.com,10270,Landspeeder (Sonic Controlled),packaged,https://www.actionfigure411.com/star-wars/images/landspeeder-sonic-controlled-2195.jpg,image/jpeg,1276470,
downloaded,www.actionfigure411.com,10271,Millennium Falcon,packaged,https://www.actionfigure411.com/star-wars/images/millennium-falcon-2193.jpg,image/jpeg,1844873,
downloaded,www.actionfigure411.com,10273,Sandcrawler (Radio Controlled),packaged,https://www.actionfigure411.com/star-wars/images/sandcrawler-radio-controlled-2194.jpg,image/jpeg,1227445,
downloaded,www.actionfigure411.com,10275,Tie Fighter (Darth Vader),packaged,https://www.actionfigure411.com/star-wars/images/tie-fighter-darth-vader-2190.jpg,image/jpeg,1336847,
downloaded,www.actionfigure411.com,10276,X-Wing Fighter,packaged,https://www.actionfigure411.com/star-wars/images/x-wing-fighter-2197.jpg,image/jpeg,1373692,
downloaded,www.actionfigure411.com,10279,Side Gunner,packaged,https://www.actionfigure411.com/star-wars/images/side-gunner-6241.jpg,image/jpeg,758979,
downloaded,www.actionfigure411.com,10274,Tie Fighter,packaged,https://www.actionfigure411.com/star-wars/images/tie-fighter-2196.jpg,image/jpeg,1831914,
downloaded,www.actionfigure411.com,10278,ATL Interceptor,packaged,https://www.actionfigure411.com/star-wars/images/atl-interceptor-6240.jpg,image/jpeg,1539635,
downloaded,www.actionfigure411.com,10282,Ewok Woodland Wagon,packaged,https://www.actionfigure411.com/star-wars/images/ewok-woodland-wagon-6244.jpg,image/jpeg,989294,
downloaded,www.actionfigure411.com,10277,A-Wing Fighter,packaged,https://www.actionfigure411.com/star-wars/images/a-wing-fighter-6239.jpg,image/jpeg,1957250,
downloaded,www.actionfigure411.com,10280,Ewok Family Hut,packaged,https://www.actionfigure411.com/star-wars/images/ewok-family-hut-6242.jpg,image/jpeg,1911437,
downloaded,www.actionfigure411.com,10283,AT-AT,packaged,https://www.actionfigure411.com/star-wars/images/at-at-2227.jpg,image/jpeg,1719130,
