"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"419","U.S.S. Flag","Playset","G.I. Joe","Vintage G.I. Joe","Wave 4","1985","False","False","False","Near Mint","missing yellow fork hook for sky striker; blueprints; Keelhaul (missing gun)"
"423","Terror Claw","Vehicle","Masters of the Universe","New Adventures of He-Man","Wave 1","1989","True","True","True","Near Mint","Terrapod box, some wear on box"
"434","Wind Raider","Vehicle","Masters of the Universe","Vintage MOTU","Wave 1","1982","True","False","False","Good","Broken wings"
"452","Fisto","Figure","Masters of the Universe","Vintage MOTU","Wave 3","1984","True","False","True","Near Mint","original box with Strydor"
"460","Snake Mountain","Playset","Masters of the Universe","Vintage MOTU","Wave 3","1984","True","False","True","Near Mint","Handcuffs are broken"
"461","Strydor","Vehicle","Masters of the Universe","Vintage MOTU","Wave 3","1984","True","False","True","Near Mint","Part of set with Fisto"
"468","Grizzlor","Figure","Masters of the Universe","Vintage MOTU","Wave 4","1985","True","False","True","Near Mint","Dark face"
"492","King Hisss","Figure","Masters of the Universe","Vintage MOTU","Wave 5","1986","True","False","True","Near Mint","Missing arm"
"542","He-Man Eagle Fight Pak","Accessory","Masters of the Universe","He-Man 200X","Wave 3","2003","True","True","True","Near Mint","Glue separating on bubble"
"545","Faker","Figure","Masters of the Universe","He-Man 200X","Wave 4","2003","True","True","True","Near Mint","Signed by the Four Horsemen"
"548","Skeletor","Figure","Masters of the Universe","He-Man 200X","Wave 1","2002","True","True","True","Near Mint","Signed by the Four Horsemen"
"559","Ram-Man","Figure","Masters of the Universe","He-Man 200X","Wave 2","2002","True","True","True","Near Mint","Signed by the Four Horsemen"
"633","Swiftwind","Vehicle","Masters of the Universe","Princess of Power","Wave 1","1985","False","False","False","Good","Missing wings"
"692","Vampire","Vehicle","M.A.S.K.","M.A.S.K.","Wave 2","1986","True","False","True","Near Mint","Variant 1"
"693","Vampire","Vehicle","M.A.S.K.","M.A.S.K.","Wave 2","1986","True","False","True","Near Mint","Variant 2"
"694","Boulder Hill","Playset","M.A.S.K.","M.A.S.K.","Wave 1","1985","True","False","False","Near Mint","Missing gas hoses"
"717","Fortress of Fangs","Playset","Advanced Dungeons and Dragons","Advanced Dungeons and Dragons (LJN)","Wave 2","1984","False","False","False","Poor","Missing some small components and sticker wear"
"721","Tendril","Figure","Inhumanoids","Inhumanoids","Inhumanoids","1986","True","False","False","Near Mint","Long fangs"
"722","Hyve","Playset","Sectaurs","Vintage Sectaurs","Sectaurs","1985","True","False","True","Near Mint","No instructions or comic"
"726","Commander Waspax and Winged","Figure","Sectaurs","Vintage Sectaurs","Sectaurs","1985","True","True","True","Near Mint","Canadian package"
"730","Zak and Bitaur","Figure","Sectaurs","Vintage Sectaurs","Sectaurs","1985","False","False","False","Near Mint","Loose solo Bitaur"
