Item,Type,Property,Line,Wave,OnHand
Party Pleasers: Angel Cake with Souffle Skunk,Figure,Strawberry Shortcake,Vintage Strawberry Shortcake,Wave 5,1
Berry Baby Orange Blossom with Bottle,Figure,Strawberry Shortcake,Vintage Strawberry Shortcake,Wave 5,1
Vamp-Paw,Figure,Supernaturals,Supernaturals,Supernaturals,1
Teddy Ruxpin,Plush,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
The Missing Princess - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
The Wooly What's-It - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Teddy Ruxpin Lullabys - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
The Story of the Faded Fobs - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Grubby's Romance - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Teddy Ruxpin's Birthday - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Tweeg and the Bounders - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Teddy's Winter Adventure - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Land of Grundo Map,Accessory,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Teddy and the Mudblups - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Grunge Music - Book & Tape,Book,Teddy Ruxpin,Teddy Ruxpin,Wave 1,1
Wobble Writer Pen - Raphael,Accessory,Teenage Muntant Ninja Turtles,TMNT 2003,Licensed Products,1
Wobble Writer Pen - Donatello,Accessory,Teenage Muntant Ninja Turtles,TMNT 2003,Licensed Products,1
Wobble Writer Pen - Leonardo,Accessory,Teenage Mutant Ninja Turtles,TMNT 2003,Licensed Products,1
Wobble Writer Pen - Michael Angelo,Accessory,Teenage Mutant Ninja Turtles,TMNT 2003,Licensed Products,1
Cork Board,Accessory,Thunder Cats,Vintage Thunder Cats,Licenced Products,1
Mail Away Mumm-Ra (Mummy),Figure,Thundercats,Vintage Thundercats,Wave 1,1
Berbil Bell,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Berbil Bill,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Berbil Burt,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Cat's Layer,Playset,Thundercats,Vintage Thundercats,Wave 2,1
Top Spinner,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Ram Bam,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Ma-Mutt,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Hammerhand,Figure,Thundercats,Vintage Thundercats,Wave 2,1
Krok,Figure,Transformers,G1 Transformers,Transformers: Action Masters,1
Banzai-Tron,Figure,Transformers,G1 Transformers,Transformers: Action Masters,1
Electric Train and Battle Set,Playset,Transformers,G1 Transformers,Wave 1,1
Warrior,Figure,Tron,Tron,Tron,1
Tron,Figure,Tron,Tron,Tron,1
Flynn,Figure,Tron,Tron,Tron,1
Sark,Figure,Tron,Tron,Tron,1
The Thing,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
Spiderman,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
Green Goblin,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
Mr. Fantastic,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
Invisible Girl,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
Human Torch,Figure,World's Greatest Super Heros,World's Greatest Superheros,World's Greatest Super Heros,1
