OnHand,Complete,Sealed,Boxed,Item,Type,Property,Line,Wave,match_status,match_strategy,matched_catalog_item_id,matched_catalog_franchise,matched_catalog_property_name,matched_catalog_product_line,matched_catalog_manufacturer,matched_catalog_release_year,matched_catalog_wave,matched_catalog_item_name
1,1,1,1,Toad Double Bubble,Vehicle,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271053,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Vehicles,Toad Double Bubble
1,1,1,1,Toad Croaker,Vehicle,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271052,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Vehicles,Toad Croaker
1,1,1,1,Toad Air Marshall,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271051,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Toad Air Marshall
1,1,0,1,Dead-Eye Duck,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271049,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Dead-Eye Duck
1,1,1,1,Commander Dogstar,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271048,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Commander Dogstar
1,1,1,1,Bucky O'Hare,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271047,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Bucky O'Hare
1,1,1,1,Bruiser,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271046,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Bruiser
1,1,1,1,Al Negator,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271045,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Al Negator
1,1,1,1,A.F.C. Blinky,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271044,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,A.F.C. Blinky
1,1,1,1,Storm Toad Trooper,Figure,Bucky O-Hare,Vintage Buck O-Hare,Bucky O-Hare,matched,property+item,271050,Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Storm Toad Trooper
1,1,1,0,Captain Planet (Arctic),Figure,Captain Planet,Vintage Captain Planet,Wave 1,matched,property+item,307858,Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Arctic)
1,1,1,0,Hoggish Greedly,Figure,Captain Planet,Vintage Captain Planet,Wave 1,matched,property+item,307884,Captain Planet,Captain Planet,Vintage Captain Planet - Eco-Villains,Tiger Toys,1991,Wave 1,Hoggish Greedly
1,1,1,1,Eco-Cycle,Vehicle,Captain Planet,Vintage Captain Planet,Wave 1,matched,property+item,307889,Captain Planet,Captain Planet,Vintage Captain Planet - Vehicles and Playsets,Tiger Toys,1991,Wave 1,Eco-Cycle
1,1,1,1,Duke's Exploding Reactor,Playset,Captain Planet,Vintage Captain Planet,Wave 1,matched,property+item,307894,Captain Planet,Captain Planet,Vintage Captain Planet - Vehicles and Playsets,Tiger Toys,1991,Wave 1,Duke's Exploding Reactor
1,1,1,0,Duke Nukem (Glows in the Dark),Figure,Captain Planet,Vintage Captain Planet,Wave 1,matched,property+item,307886,Captain Planet,Captain Planet,Vintage Captain Planet - Eco-Villains,Tiger Toys,1991,Wave 1,Duke Nukem (Glows in the Dark)
1,1,1,0,Doctor Blight,Figure,Captain Planet,Vintage Captain Planet,Wave 1,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,0,Commander Clash,Figure,Captain Planet,Vintage Captain Planet,Wave 2,matched,property+item,307874,Captain Planet,Captain Planet,Vintage Captain Planet - Eco-Heroes,Tiger Toys,1991,Wave 1,Commander Clash
1,1,0,1,Walkie Talkies,Accessory,Captain Power,Captain Power,Licensed Products,matched,property+line+wave+item,318068,Captain Power,Captain Power,Captain Power,Mattel,1987,Licensed Products,Walkie Talkies
1,1,1,1,Power Base Fortress,Playset,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317924,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Power Base Fortress
1,1,1,1,Phantom Striker,Vehicle,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317922,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Phantom Striker
1,1,1,,Lord Dread,Figure,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317919,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Lord Dread
1,1,1,1,Dread Stalker,Vehicle,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317916,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Dread Stalker
1,1,1,1,Captain Power,Figure,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317915,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Captain Power
1,1,1,1,Blast Starr Ground Guardian,Figure,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317913,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Blast Starr Ground Guardian
1,1,1,1,Power Jet XT-7,Vehicle,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317925,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Power Jet XT-7
1,1,1,1,Power On Energizer,Accessory,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317927,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Power On Energizer
1,1,1,,Tank Ellis,Figure,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317931,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Tank Ellis
1,1,1,1,Soarin' Sky Sentry,Figure,Captain Power,Captain Power,Wave 1,matched,property+line+wave+item,317930,Captain Power,Captain Power,Captain Power,Mattel,1987,Wave 1,Soarin' Sky Sentry
1,1,1,,Pilot Chase,Figure,Captain Power,Captain Power,Wave 2,matched,property+line+wave+item,318286,Captain Power,Captain Power,Captain Power,Mattel,1988,Wave 2,Pilot Chase
1,1,1,1,Scout Baker,Figure,Captain Power,Captain Power,Wave 2,matched,property+line+wave+item,318287,Captain Power,Captain Power,Captain Power,Mattel,1988,Wave 2,Scout Baker
1,1,1,0,Cozy Heart Penguin - Mini,Figure,Care Bears,Vintage Care Bears,Minis,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Funshine Bear with Suncatcher,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321326,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Funshine Bear with Sun Catcher
1,1,0,1,Cloudmobile,Vehicle,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321388,Care Bears,Care Bears,Vintage Care Bears - Vehicles and Playsets,Kenner,1983,1983 Assortment,Cloudmobile
1,1,1,1,Cheer Bear with Merry Megaphone,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321301,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Cheer Bear
1,1,1,1,Champ Bear with Good Sport Trophy,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321335,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Champ Bear with Good Sport Trophy
1,1,0,1,Care-A-Lot,Playset,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321387,Care Bears,Care Bears,Vintage Care Bears - Vehicles and Playsets,Kenner,1983,1983 Assortment,Care-a-Lot
1,1,1,1,Bedtime Bear with Snooze Alarm,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321322,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Bedtime Bear with Snooze Alarm
1,1,1,0,Goodluck Bear with Happy-go-lucky-shovel,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321327,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Good Luck Bear with Happy Go Lucky Shovel
1,1,1,1,Grumpy Bear with Dumbrella,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321305,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Grumpy Bear
1,1,1,1,Love-A-Lot Bear with Bouquet of Hearts,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321329,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Love-a-Lot Bear with Bouquet of Hearts
1,1,1,1,Wish Bear with Star-a-scope,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321331,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Wish Bear with Star-A-Scope
1,1,1,1,Tenderheart Bear with Caring Heart Mirror,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321330,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Tenderheart Bear with Caring Heart Mirror
1,1,1,1,Share Bear with Share-a-like Shake,Figure,Care Bears,Vintage Care Bears,Wave 1,matched,property+item,321315,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1985,1985 Assortment,Share Bear
1,1,1,1,Professor Coldheart,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Lotsa Heart Elephant with Mighty Trunk,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Grams Bear with Lovin Basket,Figure,Care Bears,Vintage Care Bears,Wave 2,matched,property+item,321332,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Grams Bear with Lovin' Basket
1,1,1,1,Gentleheart Lamb with Peek-a-boo Bell,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Friend Bear with Friendly Sprinkler,Figure,Care Bears,Vintage Care Bears,Wave 2,matched,property+item,321325,Care Bears,Care Bears,Vintage Care Bears - Poseable Figures with Accessories,Kenner,1985,1985 Accessory Assortment,Friend Bear with Friendly Sprinkler
1,1,1,,Cozy Heart Penguin with Nice-Skates,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Cloud Keeper with Fluffy Cloud Broom,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Brightheart Raccoon with Clever Candle,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,1,1,Braveheart Lion with Trusty Shield,Figure,Care Bears,Vintage Care Bears,Wave 2,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
