sku,page_url,title,target_name,kind,image_url,match_norm
RBT052,https://collectorarchive.com/rbt052,1994 Harmony Gold Robotech Boxed Action Figure - Excaliber MK VI,Excaliber MK VI,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250057_1_1.jpg,excaliber mk vi
RBT053,https://collectorarchive.com/rbt053,1986 Matchbox Europe Robotech Carded Action Figure - Lunk,Lunk,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20250736_1_1.jpg,lunk
RBT054,https://collectorarchive.com/rbt054,2018 Toynami Robotech Carded Action Figure - Lynn Minmei (SDCC Exclusive) Limited Edition of 500,Lynn Minmei (SDCC Exclusive) Limited Edition of 500,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254762_1_1.jpg,lynn minmei sdcc exclusive limited edition of 500
RBT055,https://collectorarchive.com/rbt055,2018 Toynami Robotech Carded Action Figure - Miriya (SDCC Exclusive) Limited Edition of 500,Miriya (SDCC Exclusive) Limited Edition of 500,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254760_1_1.jpg,miriya sdcc exclusive limited edition of 500
RBT056,https://collectorarchive.com/rbt056,2018 Toynami Robotech Carded Action Figure - Rick Hunter (SDCC Exclusive) Limited Edition of 500,Rick Hunter (SDCC Exclusive) Limited Edition of 500,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254769_1_1.jpg,rick hunter sdcc exclusive limited edition of 500
RBT057,https://collectorarchive.com/rbt057,2018 Toynami Robotech Carded Action Figure - Roy Fokker (SDCC Exclusive) Limited Edition of 500,Roy Fokker (SDCC Exclusive) Limited Edition of 500,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254759_1_1.jpg,roy fokker sdcc exclusive limited edition of 500
RBT058,https://collectorarchive.com/rbt058,2018 Toynami Robotech Carded Action Figure - Max Sterling (SDCC Exclusive) Limited Edition of 500,Max Sterling (SDCC Exclusive) Limited Edition of 500,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254761_1_1.jpg,max sterling sdcc exclusive limited edition of 500
RBT059,https://collectorarchive.com/rbt059,2020 Toynami Robotech Carded Action Figure - Claudia Grant,Claudia Grant,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254763_1_1.jpg,claudia grant
RBT060,https://collectorarchive.com/rbt060,2020 Toynami Robotech Carded Action Figure - Henry J. Gloval,Henry J. Gloval,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254768_1_1.jpg,henry j gloval
RBT061,https://collectorarchive.com/rbt061,2020 Toynami Robotech Carded Action Figure - Ben Dixon,Ben Dixon,packaged,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20254767_1_1.jpg,ben dixon
RBT062,https://collectorarchive.com/rbt062,1984 Revell Robotech 1/170 Scale Boxed 2-In-1 Model Kit - Ground Attackers,Ground Attackers,packaged,https://collectorarchive.com/pub/media/catalog/product/placeholder/default/logo_coming_soon.jpg,ground attackers
RBT063,https://collectorarchive.com/rbt063,1984 Revell Robotech 1/170 Scale Boxed 2-In-1 Model Kit - Search Patrol,Search Patrol,packaged,https://collectorarchive.com/pub/media/catalog/product/placeholder/default/logo_coming_soon.jpg,search patrol
