catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,old_url,new_url,old_host,new_host
1059826,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Rockin Roadster,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_RockinRoadster-Front.jpg,https://rockjem.com/images/dolls/playsetrockinroadsterroofofft.jpg,www.figurerealm.com,rockjem.com
1059827,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Roxy,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Roxy-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollroxyb.png,www.figurerealm.com,rockjem.com
1059831,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Stormer,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Stormer-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollstormerb.png,www.figurerealm.com,rockjem.com
1059833,Jem,Jem and the Holograms,Vintage Jem,1986,Wave 1,Twilight in Paris,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_TwilightInParis-Clothes-Front.jpg,https://rockjem.com/images/dolls/fashionos14.png,www.figurerealm.com,rockjem.com
1059841,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Aja,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Aja-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollajab.png,www.figurerealm.com,rockjem.com
1059845,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Clash,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Clash-Doll-Front.jpg,https://rockjem.com/images/dolls/dollclashb.png,www.figurerealm.com,rockjem.com
1059848,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Danse,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Danse-Dolls-Front.jpg,https://rockjem.com/images/dolls/dolldanseb.png,www.figurerealm.com,rockjem.com
1059862,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Jetta,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Jetta-Dolls-Front.jpg,https://rockjem.com/images/dolls/dolljettab.png,www.figurerealm.com,rockjem.com
1059863,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Kimber,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Kimber-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollkimberb.png,www.figurerealm.com,rockjem.com
1059871,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Raya,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Raya-Doll-Front.jpg,https://rockjem.com/images/dolls/dollrayab.png,www.figurerealm.com,rockjem.com
1059882,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Synergy,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Synergy-Doll-Front.jpg,https://rockjem.com/images/dolls/dollsynergyb.png,www.figurerealm.com,rockjem.com
1059887,Jem,Jem and the Holograms,Vintage Jem,1987,Wave 2,Video,packaged_image_url,https://www.figurerealm.com/galleries/jemandtheholograms/thumb_Video-Dolls-Front.jpg,https://rockjem.com/images/dolls/dollvideob.png,www.figurerealm.com,rockjem.com
