catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url,new_url,new_source_name,new_source_url,source_item_title,source_release_year,source_series,score,reasons
4210636,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 4,Juggernaut,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Juggernaut-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1538&figure=juggernaut,https://www.toymania.com/archives/xmen/juggrnta.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210636,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 4,Juggernaut,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Juggernaut-KB-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1538&figure=juggernaut,https://www.toymania.com/archives/xmen/juggrntd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/juggrnt.shtml,Juggernaut,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwler.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlerc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlera.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlerd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,63,name;year_mismatch:1991;wave_hint;kind
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwler.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlerc.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlera.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210640,X-Men,X-Men,Toy Biz X-Men,1998,Exclusives - KayBee - Series 5,Nightcrawler,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Nightcrawler-KaybeeExclusives-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125972&figure=nightcrawler,https://www.toymania.com/archives/xmen/ncrwlerd.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/ncrwler.shtml,Nightcrawler,1991,Series I - 1991,35,name;year_mismatch:1991;wave_hint;loose_for_packaged
4210660,X-Men,X-Men,Toy Biz X-Men,1996,Monster Armor,Rogue,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue-MonsterArmor-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1553&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,53,name;year_mismatch:1994;kind
4210660,X-Men,X-Men,Toy Biz X-Men,1996,Monster Armor,Rogue,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue-MonsterArmor-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1553&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,25,name;year_mismatch:1994;loose_for_packaged
4210711,X-Men,X-Men,Toy Biz X-Men,1995,Projectors,Bishop,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Bishop-Projectors-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=50158&figure=bishop,https://www.toymania.com/archives/xmen/bishop.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/bishop.shtml,Bishop,1993,Series IV - 1993,25,name;year_mismatch:1993;loose_for_packaged
